,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary,new_overall_score
11,Page Personnel,"Data Analyst (Python, R, SQL)",Hong Kong,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Page Personnel Website","4.2
★★★★★
91 %
Recommend to a friend
100 %
Approve of CEO
1 Ratings","Conduct data cleansing, mining, process automation

Conduct sales and marketing analysis

Manage and improve existing CRM database

Assist business directors with project analysis

Generate dashboards, reports for management

Business partnering with various departments

Exposure to the e-commerce industry

Immediate availability is an advantage

Degree holder

Automation/ Machine Learning experience

Exposure to BI Tools, SQL, VBA, Python

Experience in generating reports and dashboards for senior management review

Proficient in English & Chinese

Our client is a leading conglomerate with businesses covering various industries. They have recently enhanced their e-commerce offerings and is looking for data-sensitive individuals for their newest analytics team.

Permanent position

Double-pay

Performance bonus

On-the-job training

Medical coverage

Staff discount for group companies
Show More",NA,4.2
12,The Hong Kong Jockey Club,Senior Big Data Analytics Modelling Analyst (Retail),Happy Valley,"Company Overview
Size
10000+ Employees
Founded
1884
Type
Non-profit Organisation
Industry
Museums, Zoos & Amusement Parks
Sector
Arts, Entertainment & Recreation
Revenue
$100 to $500 million (USD)
Visit The Hong Kong Jockey Club Website","3.6
★★★★★
60 %
Recommend to a friend
88 %
Approve of CEO
51 Ratings","The Department
The Customer and International Business Development Division (C&I) is responsible for providing quality wagering experience to local and overseas customers of The Hong Kong Jockey Club. It operates 88 Race Meetings a year, 37 Simulcasts days, a thrice-weekly Mark 6 Draw, 7X24 Digital Channels, 7X24 Football Betting Services on over 11,000 different leagues per year. The ultimate aim is to provide an impressive total customer experience leading to sustainable turnover growth in a responsible manner.
With around 100 off-course betting branches and 2 racecourses, Retail and Telebet Services Department is committed to provide quality and efficient service to our customers throughout Hong Kong.
The Job
You will:
Show More",HK$96K - HK$192K (Glassdoor Est.),3.6
13,lalamove,Data Analyst,Hong Kong,"Company Overview
Size
501 to 1000 Employees
Founded
2013
Type
Company - Private
Industry
Logistics & Supply Chain
Sector
Transportation & Logistics
Revenue
Unknown / Non-Applicable
Visit lalamove Website","3.6
★★★★★
58 %
Recommend to a friend
78 %
Approve of CEO
53 Ratings","Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home, at work or on the go. People talk about O2O, we live it!
Currently, Lalamove is a leading global on-demand delivery platform with millions of delivery partners serving millions of orders everyday.
With 1600+ employees spread across APAC and LATAM, our 7-years old company has reached unicorn status in 2018, is well funded by prominent VCs and has kept growing at tremendous speed since.

Our strength lies in our internal values, namely Passion in serving local communities, empowering SMEs and our driver partners, Execution and Grit because that is how we differentiate ourselves by never giving up and striving for excellence, and Humility - awareness in ourselves to learn from others and never stop improving. At Lalamove, we strongly believe in the power of community. Millions of drivers and customers use our technology every day to connect with one another and move things that matter. Delivery is what we do best and we ensure it is always fast and simple. Since 2013, we have tackled the logistics industry head on to find the most innovative solutions for the world’s delivery needs.



Show More",NA,3.6
14,Hays,Data Analyst - International Firm (Service Industry),Hong Kong,"Company Overview
Size
5001 to 10000 Employees
Founded
1968
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
$1 to $2 billion (USD)
Visit Hays Website","3.7
★★★★★
71 %
Recommend to a friend
87 %
Approve of CEO
1682 Ratings","Your new company
This is an international company with strong presence across the global. Due to expansion, they are now seeking a data analyst to join their finance team.

Your new role
Directly report to the Financial Controller, you will be responsible for designing and developing the business analysis report using Power BI. You will work with different countries and stakeholder to gather and understand the user requirements and the business. You will develop dashboards using Power BI to assist management on decision making.

What you'll need to succeed
You will have 3+ years of data analytics/data visualisation experience using Power BI. You are strong in stakeholder management, presentation and communication skill.


If you're interested in this role, click ""apply now"" or for more information and a confidential discussion this role or to find out more about Data Analytics/Data Visualisation opportunities, please contact Gillian Lam on +852 2230 7433 or email your CV to gillian.lam@hays.com.hk
Show More",NA,3.7
15,Momenta,Data Analyst,Kowloon City,"Company Overview
Size
1 to 50 Employees
Founded
1971
Type
Company - Private
Industry
Consumer Products Manufacturing
Sector
Manufacturing
Revenue
$10 to $25 million (USD)
Visit Momenta Website","2.6
★★★★★
41 %
Recommend to a friend
49 %
Approve of CEO
6 Ratings","What’s the role?
We are currently recruiting for a data analyst to join an exciting project with HSBC Bank in Kowloon.
The successful candidate will form an integral part of the retail credit risk data management function and will be actively involved in the definition of business requirements, global data strategies and implementation activities.
Start date: June 2021
Location: South West Kowloon
Duration: 7 months with the chance of extension
Rates: up to 100,000 HKD per month
Show More",NA,2.6
16,Great Union Human Capital,"Data Analyst (SAS, Commercial Bank)",Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Unknown
Revenue
Unknown / Non-Applicable
Visit Great Union Human Capital Website",NA,"Our client is a commercial bank, currently they are looking a data analyst to join their credit reporting team.
Job duties:
Preform analysis on credit risk data
Prepare Credit Risk MIS report
Develop and using different tools to manager credit risk of the bank’s own corporate portfolio,
Assist on credit monitoring and reporting functions
Requirement:
Knowledge in Data Analytics and hands on in SAS
Experts in Excels and other statistical tools
Prefer with some banking experience but fresh grad is also welcome
Show More",HK$240K - HK$430K (Glassdoor Est.),0.0
17,Randstad,Data Analyst | MNC | FMCG,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1960
Type
Company - Public
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
$10+ billion (USD)
Visit Randstad Website","3.9
★★★★★
81 %
Recommend to a friend
91 %
Approve of CEO
807 Ratings","About the company

Our client is a FMCG MNC with a leading position in the market. We're currently partnering with them to look for a Data Analyst with Regional exposure.

Key Responsibilities:
Understand business issues and translate these into technical needs;
Communicate data findings to business users via dashboards, reports and presentations;
Partner with data science teams to ensure data is consistent to business requirements;
Reviewing computer reports, printouts, and performance indicators to amend code issues to create clean data;

Show More",NA,3.9
18,Salt Recruitment,Data Analyst,Hong Kong,"Company Overview
Size
201 to 500 Employees
Founded
2010
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
$10 to $25 million (USD)
Visit Salt Recruitment Website","3.3
★★★★★
46 %
Recommend to a friend
80 %
Approve of CEO
37 Ratings","THE BENEFITS
– exposure to global MNC ecosystem
– competitive package, with medical/dental, annual/sick leaves, staff perks
– great company, warm culture
THE JOB
– translate business requirements into technical specifications
– data cleansing by locating and correcting coding problems
– create and maintain reports and presentations, communicate to business
Show More",HK$204K - HK$430K (Glassdoor Est.),3.3
19,HGC Global Communications Limited,Data Analyst,Hong Kong,"Company Overview
Size
1001 to 5000 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit HGC Global Communications Limited Website","2.9
★★★★★
55 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","HGC Global Communications Limited (HGC) is a leading Hong Kong and international fixed-line operator. We own an extensive network and infrastructure in Hong Kong and overseas and provide various services. Our business covers 23 overseas offices in 5 continents, provides telecom infrastructure service to other operators and serves as a service provider to corporate and households. We provide full-fledged telecom, ICT solutions, data centre and broadband services for local, overseas, corporate and mass markets. We own and operate an extensive fibre-optic network, five cross-border telecom routes integrated into tier-one telecom operators in mainland China and connect with hundreds of world-class international telecom operators. Macroview Telecom Limited, a leading digital technology and IT infrastructure solutions provider is a HGC Group Company.

Responsibilities:
Formulate and implement various business strategies and plans for Business Intelligent and data analytics, includes marketing campaigns, data extract, customer list preparation, and promoting throughout the company to achieve the company's business and management. Conduct data design based on user business and technical requirements;

Analyze IB / local business operation, organize the company's annual, quarterly, and monthly production and operation analysis and work plan, supervise and coordinate the implementation among various functional departments accordingly. Prepare business and technical documentations and conduct user training;

Work closely with various business unit to implement the action plans and react responsively to any constraints and barriers;

Participate in ad-hoc data / analytic exercise to prepare and analyze customer data.


Degree holder in Data Science, Computer Engineering, Information Technology, Statistics or related disciplines.

2 years of experiencein customer analytic, data warehouse and BI platform, preferably in telecommunication industry.

Proficient in data analytics design and segmentation with PL/SQL, MS SQL and Python coding or correlation platform.

Knowledge, skills and experience in system design and development with all / some of the following technologies: Exposure in Design pattern, Java applications Framework would be an advantage.

Windows, Linux, IBM AIX;

Oracle, MySQL, MS SQL;

Java, JavaEE - Web, Website building (e.g. PHP, JavaScript & AngularJS - Jquery, Ajax), APEX, Python, Ruby;

BI tools: OBIEE / Discoverer, ETL: ODI, Oracle Weblogic, Web Security, Big-Data tool, like Hadoop / Splunk;

Strong communication and coordination skills, Self-motivated with analytical and problem solving capability.

Good command of written and spoken Chinese and English and proficient in Mandarin.

We offer competitive salary package and career development opportunity. Interested parties, please apply with full resume, present and expected salary, by clicking “APPLY NOW”. Please quote the reference number on the e-mail subject.

We are an equal opportunity employer and welcome applications from all qualified candidates. Information provided will be treated in strict confidence and only be used for consideration of your application for the relevant post within HGC Global Communications Limited. Personal data provided by job applicants will be used strictly according to our Personal Information Collection Statement, a copy of which will be available upon written request. Information of unsuccessful candidates will be destroyed within six months.

Full-time,Permanent
Show More",HK$204K - HK$430K (Glassdoor Est.),2.9
20,The Floor,Data Analyst,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit The Floor Website","4.2
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","About The Floor
The Floor is a technology platform headquartered in Tel Aviv, Israel, powering the future of finance by partnering with the largest banks around the globe and pushing the boundaries of digital transformation.
Our banks depend on our innovative, precise, and timely data to empower their abilities for enacting financial change with their customers. Our data team is on the front lines ensuring The Floor is at the cutting edge of transformative technologies, intelligence, and capabilities for users to Shape The Bank Of The Future.

About the Role
An exciting opportunity surfaces in The Floor’s Hong Kong office, to join The Floor’s Data Team as Data Engineer.




Show More",NA,4.2
21,Transin Holding Limited,Data Analyst,Cyberport,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Transin Holding Limited Website",NA,"Job Description
(1) To help build up a company culture that is dynamic, open-minded, fun, effective and creative
(2) Data mine and extract data which are useful for the system
(3) Responsible for data analysis in an effective and innovative way
(4) Present the data in a visual-friendly way
(5) Responsible for backend development of Web & Mobile
(6) Responsible for development for Central Control System in web
(7) Perform your job to the best of your ability and to comply with the duties implied by law
(8) Perform UAT
(9) Quality control for the project
(10) Work closely with all internal teams for programming and system enhancement
Talent's Requirement
(1) Bachelor in information system\computer science\statistic or related discipline. Master or doctoral degree is also welcome.
(2) Experience in data mining\data analysis\data presentation
(3) Have an innovative and think out of the box mindset
(4) Interest in working in a startup Fintech company
(4) Have a research and development mindset is a definite advantage
Show More",HK$204K - HK$405K (Glassdoor Est.),0.0
22,SUPER Corporate Consultancy Group,DATA ANALYST (BANK PROJECTS),Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit SUPER Corporate Consultancy Group Website",NA,"Job Description
Job duties
As a project manager to Improve and ensure the data quality of customer information
Implement data migration project, data governance framework and drive data cleansing exercise of the Core Banking Project, in accordance with approved project scope, budget, targets and timelines.
Establish and execute data migration plan for the Core Banking Projects and work closely with the project team and vendor to develop and test the technologies and processes involved for successful data migration
Perform data analysis to reveal data issue in replaced systems which exist currently or will be an issue according to new Core Banking system
Design of data structure in alignment with the corporate data quality standards and architecture
Provide data cleansing support to ensure adequate data understanding and accurate data cleansing processing for the production of high quality data in the new system
Show More",HK$204K - HK$423K (Glassdoor Est.),0.0
23,MoneySQ Limited,Data Analyst,Hong Kong,"Company Overview
Size
51 to 200 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit MoneySQ Limited Website","3.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Who we are

MoneySQ.com and its partners aim to be the undisputed leader in Online Lending Platform service. We incorporate the latest FinTech solutions into our online platform, ensuring a secure, robust yet user-friendly experience.

At MoneySQ.com, we are committed to finding innovative new ways to utilize financial technology resources to greatly improve the online lending experience. Our professional team constantly seeks to create new solutions to better meet the financing needs of individuals and businesses today, while lowering costs and providing access to new avenues for wealth creation.

Join us now and be part of our exciting journey!

At MoneySQ, we foster a culture of innovation, continuous improvement and collaboration. We strive to develop our talent and support life-long learning to fulfil their personal growth and career aspirations. We offer resources, competitive salary package and good benefit to our employees to keep them engaged at work. We are also committed to creating a positive working environment which value a healthy work-life balance.

To cope with our rapid expansion, we are currently looking for high caliber and passionate individuals to join our growing team.


We are a leading blockchain technology company with an avowed mission to establish a safe, secure, transparent, traceable and trust through advanced technology. We develop innovative business solutions across various industries including but not limited to B2B/B2C online marketplace, financial services, property management and other technology driven projects. We are now looking for an enthusiastic, dynamic and innovation driven individual to join our exciting team.


Perform data analysis to provide actionable insights

Prepare dashboard and other ad-hoc reports

Apply data mining and statistical techniques to developinsights and transformational logic and outcome

Translating data mining results into a clear business focused deliverables

Perform data analytics and modelling based on business requirement to derive business insight reports


Degree holder in Computer Science or a related discipline

Minimum 2 years programming experience in Python, Postgresql, Java under Microsoft Azure cloud environment and/or data analytics

Familiar in DataMart, BI Dashboard, Data analytics, modelling & mining; and visualization tool such as Tableau, Power BI

Hands on experience in MS SQL, MongoDB, NoSQL, Elastic Search, ELK and Algolia

Experience in Machine Learning, Neuro-Linguistic Programming (NLP) is an advantage

Experience in docker and Kubernetes is definitely a plus

Strong in analytical skill and data analytics

Knowledge in Microsoft Azure functionality is essential

Ability to think out of the box and be innovative on data analytics solution design is important

Please send your resume with expected salary by the function ""APPLY NOW"".

Full-time,Permanent
Show More",HK$204K - HK$420K (Glassdoor Est.),3.0
24,Michael Page HK,Data Analyst,Hong Kong,"Company Overview
Size
201 to 500 Employees
Type
Company - Private
Industry
Security Services
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Michael Page HK Website","3.6
★★★★★
82 %
Recommend to a friend
84 %
Approve of CEO
13 Ratings","Align business requirement from business units in various regional team to work on BI implementation project
Conduct data analytics and visualization to tackle operation and sales issues
Handle simple data integration including ETL, data warehousing, data lake
Cooperate with IT and other business teams to develop and analyze BI strategies and propose innovative business plans to enhance business operation

Programming for PowerBI/ Alteryx

Handle ETL

Bachelor's Degree in Computer Science or Statistics or relevant degree
Working experience in logistics or sourcing companies will be an advantage
2-4 years' experience in related experience, more experienced will be considered as Assist Manager
Knowledge in programming with Alteryx, PowerBI
Fluent communication in English or Chinese

My client is a large multinational company which is undergoing various technology transformation. To achieve sustainable development and embrace the era of Bigdata, they are actively expanding their Data Analytics Team. Joining the Data Analytics Team, you will be involved in many exciting projects in businesses strategic planning through data!

5 Days Work
Permanent Position
Bank Holiday
Double Pay
Discretionary Bonus
Medical and Life Insurance

Programming for PowerBI/ Alteryx
Handle ETL
Data transformation and Visualization
Show More",HK$204K - HK$420K (Glassdoor Est.),3.6
25,Yusen Logistics Global Management Limited,Manager -Data Analyst Team,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","Summary
Industry:
Logistics
Job Category / Function:
Professional Services (Business Analysis / Data Analysis)
Logistics / Transportation / Shipping (Supply Chain)
IT (DBA)
IT (Product Management / Business Analyst)
Job Position Level:
General
Employment Term:
Full Time / Permanent
Min. Edu. Level Req:
Bachelor



Show More",NA,3.9
26,Match Talent,Data Analyst – Data Lab,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Match Talent Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","You will be in charge of handling data and analytic reporting to support in-house multi-functional teams in working on complex operational and strategic initiatives.
Responsibilities:
Complete digital analytics projects that require data mining, analysis and customer segmentation.
Produce regular and ad hoc analytics reports for reviewing the performance of website and mobile apps to management and different business units.
Manage analytics tools and develop analytics dashboards.
Create sizing and measure customer segments to facilitate analytics strategy and improve conversion.
Requirements:
Show More",NA,5.0
27,Bravo Personnel Consultancy Limited,"Analyst, Data Quality (25K)",Chai Wan,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Bravo Personnel Consultancy Limited Website",NA,"Complete data dictionary, data quality controls and tests to enable Solvency II compliance
Perform data quality testing and TAG Heuer replica watches populate results in a data quality dashboard
Support the Data Quality Working Group with the follow-up of data quality issues identified
Support the transition and cheap replica watches online handover of data quality activities
Assist Manager to ensure the deliverables are of an appropriate quality
Provide ad hoc support to project rolex replica


Qualifications:





Show More",HK$204K - HK$420K (Glassdoor Est.),0.0
28,Arup,Data Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1946
Type
Company - Private
Industry
Architectural & Engineering Services
Sector
Business Services
Revenue
$100 to $500 million (USD)
Visit Arup Website","4.1
★★★★★
87 %
Recommend to a friend
96 %
Approve of CEO
241 Ratings","Arup is the creative force at the heart of many of the world’s most prominent projects in the built environment and across industry. Working in more than 140 countries, the firm’s designers, engineers, architects, planners, consultants and technical specialists work with our clients on innovative projects of the highest quality and impact. Our East Asia offices employ approximately 3,000 staff and are engaged in prestigious multi-disciplinary projects covering buildings, infrastructure, advisory services, planning and technical consulting areas. We embrace equality, diversity and inclusion in all aspects including individual differences and open-mindedness. We are committed to applying our expertise, diversity of thinking and independence in the quest for a safe, sustainable and resilient future – for all. This is how we shape a better world. Currently we are looking for a capable and independent individual for the following position as part of the multi-disciplinary team.
Responsibilities:
Create, develop and maintain architecture of data and business intelligence system


Show More",HK$236K (Glassdoor Est.),4.1
29,Swing Consulting,Data Analyst,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Swing Consulting Website","3.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Deliver MI reporting, data analysis, campaign management
Data preparation for advanced analytics (e.g. propensity model, fraud detection model)
Involve in BA reporting, dashboard building and data governance projects
Collaborate with business users across the organization to assess their business needs and define data & analytics strategy
Higher Diploma or above in Computer Science, Information Management, Mathematics, Statistics, or related disciplines
At least 2 years of solid experience in the capacity of Data Analyst
Excellent interpersonal and communication skills
Immediately available is an advantage


Show More",NA,3.0
63,OneSky Technology and Service (China) Limited,Operations Engineer/Analyst,Hong Kong,NA,NA,"OneSky is striving to be the World #1 Game Translation company!
With our professional translators worldwide, we provide localization services in 50+ languages and serve many of the world's leading app, mobile game, web, and e-commerce companies, including Sony, Garena, and Ubisoft.
-----
We are looking for an Operation Analyst to help us improve the existing Recruitment system. If you are a data-oriented person, then this is the perfect role for you!
Responsibility:
Translator Recruitment
1. Improve Recruitment Process by collecting and analyzing data
2. Identify bottlenecks and brainstorm solutions
3. Work with Engineer to automate the process
4. Create Dashboards to closely monitor progress










Show More",HK$240K - HK$360K (Employer Est.),0.0
