,overall_score,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary
10,4.2,Autotoll Limited,Data Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Autotoll Limited Website","4.2
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","About Us

Autotoll Limited has been providing Electronic Toll Collection (ETC) service covering all toll roads and tunnels in Hong Kong since 1998. As the leading intelligent transport system provider, Autotoll has evolved into a diverse portfolio of businesses encompassing store value payment service, mobile payment & applications and intelligent transport systems over the years. We pride ourselves in providing reliable, quality and efficient services to the transportation stakeholders in Hong Kong including motorists, public and commercial sectors and the Government.

About The Role:
Produce innovative solutions for structured and unstructured large datasets, applying advanced statistical, data mining, and machine-learning techniques

Apply knowledge of statistics, machine learning, programming, data modeling, simulation, deep learning and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to better business decision making

Use a flexible, analytical approach to design, develop and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data

Collaborate with the other project team members leading the Data Architecture and Data Modelling to ensure good alignment between the technical and functional project goals


Degree in Computer Science

4-6 years relevant IT System Development Experience, at least 2 years’ experience in database and data flow design and analysis, SQL, C#, C++/ Python/ Golang, MSSQL/ MYSQL/ Postgres/ MongoDB

What you can get from us

On-the-job training, learning and development tailored for your needs

Executive workshops, interest class, corporate purchase discount offered by SHKP

Competitive salary and annual leaves

Flexible working opportunities

Interested parties, please send full resume with expected salary and available date to Human Resources and Administration Department by e-mail or by fax 2111 9459.

(Data collected will be used for recruitment purpose only.)

Full-time,Permanent
Show More",HK$222K - HK$420K (Glassdoor Est.)
11,NA,Infotech Services,Data Engineer,Tseung Kwan O,"Company Overview
Size
501 to 1000 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Infotech Services Website","5.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Conduct user requirement analysis, ETL design and implementation support for Big Data and Analytic initiatives;
Study/Analyze source system data and design data model to support business user’s analytic and reporting requirements;
Implement efficient data pipelines to transform data from multiple data sources (i.e. ETLs)
Use visualization tools to design and build dynamic dashboards and reports;
Work closely with vendor / in-house Data Scientists and AI development team and facilitate the implementation.
Yrs of Total Post-Quali Exp 0.0 Requirements - Degree or equivalent qualification in Computer Science, Statistics, Information Management or related disciplines;
3-5 years of working experience as a Data Engineer;
Show More",NA
12,NA,Pacific Careers,Data Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pacific Careers Website",NA,"Ref: RCP2106104



Requirement :

Data Engineer

Responsibilities:
Conduct user requirement analysis, ETL design and implementation support for Big Data and Analytic initiatives
Study/Analyze source system data and design data model to support business user’s analytic and reporting requirements.
Implement efficient data pipelines to transform data from multiple data sources (i.e. ETLs)
Use visualization tools to design and build dynamic dashboards and reports
Work closely with vendor / in-house Data Scientists and AI development team and facilitate the implementation

Requirements:
Degree or equivalent qualification in Computer Science, Statistics, Information Management or related disciplines.
3-5 years of working experience as a Data Engineer.
Solid programming skills in Python and PL/SQL.
Hands on experience in ETL, Data transformation and Data Modelling.
Familiar with visualization tool, e.g. Tableau, Google Data Studio, Adobe Analytics.
Experience in Cloud platforms would be an added advantage, e.g. AWS Redshift, Google Big Query.
Self-motivated and able to work independently.
Excellent interpersonal, written and verbal communications skills in both English and Chinese.
Required to work in Tseung Kwan O Logistics Centre.


If interested for the above position, please send detailed resume with current and expected salary as well as date of availability to cv@itsearch.com.hk
The personal information collected is strictly for recruitment purpose only.
Show More",HK$216K - HK$456K (Glassdoor Est.)
13,3.5,HamlynWilliams,Data Engineer,Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
2011
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
$25 to $50 million (USD)
Visit HamlynWilliams Website","3.5
★★★★★
69 %
Recommend to a friend
69 %
Approve of CEO
7 Ratings","As a team member of the team, you’ll deliver analytically-informed, issue-based solutions that help clients make faster, smarter decisions. You’ll play a critical role in helping them tackle complex business issues. You will be working jointly with strategists and technology experts from our broader digital community on consulting missions and implementation around analytics.

RESPONSIBILITIES
Support the full software development lifecycle.
Utilize emerging technologies and big data design principles in developing data pipelines, interfaces, and architecture to support big data and analytics initiative.
Work closely with other engineers, data analysts, data scientists, and data visualizers to bring powerful analytical solutions and insights to our clients.


Show More",HK$144K - HK$420K (Glassdoor Est.)
14,3.0,Macroview Telecom Limited,Data Engineer,Quarry Bay,"Company Overview
Size
501 to 1000 Employees
Founded
1991
Type
Company - Private
Industry
Internet
Sector
Information Technology
Revenue
$50 to $100 million (USD)
Visit Macroview Telecom Limited Website","3.0
★★★★★
58 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Design, implement and manage data pipeline workloads for scalable analytic purposes
Provide data retrieval, delivery and analytic services to business stakeholders
Collaborate with application development team to provide integrated digital solutions to business users
Requirements
University graduate in Computer Sciences, Information Systems, Data Science or related disciplines
1 – 2 years of experience in data pipeline design and implementation
Hands-on experience in Java and/or Python for ETL with various databases (e.g. MSSQL, Oracle, MongoDB, Redis)
Prior knowledge or experience in one or more of the followings areas are preferred:
BI / data visualization tools (e.g. Power BI / Tableau)
Data processing (batch and stream) and analytic components (e.g. Apache Airflow, Kafka, Flink)
Data services in public cloud platforms (GCP, AWS or Azure)
Business financial analysis, Principles of financial / managerial accounting,
Good in both spoken and written Cantonese and English. Mandarin is a plus
Able to work independent with strong analytical and problem-solving skills
Strong passion in new and emerging technologies and willing to learn
Good team player and interpersonal skills, with high level of personal accountability
Show More",HK$168K - HK$240K (Glassdoor Est.)
15,NA,Yetee.Shop,Software Engineer,Central,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","About Us
Did you know that returns related to e-commerce is expected to cost companies in the United States alone $550 billion in 2020?
Did you know that packaging used in e-commerce is expected to reach 41.3 million tonnes per annum by 2025 in China alone. That's the equivalent of 400,000 blue whales.
With fit being cited as the number one reason for returns, Yetee is on a mission to eliminate fit related problems in fashion retail. We’ve started by building an e-commerce marketplace where fit is a first-class citizen. Our users are able to shop on our platform confidently while knowing that everything that they see fits. The marketplace will serve as the foundation for the company as we continue to develop our technology stack for technologies relating to big data and computer vision.
Show More",HK$144K - HK$600K (Glassdoor Est.)
16,NA,PEOBASE Limited,Data Engineer,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit PEOBASE Limited Website",NA,"One of the Global MNC which is the market leader of its field and has offices in 70 countries, is now seeking a data engineer to join their professional team in Hong Kong.
Responsibilities
Design, develop and maintain the Data Management Solution (incl. Data Warehouse)
Support the analysis work by building the conceptual model, data model and executing information gathering, and data aggregation
Design and develop architecture and application to present the analysis result
Technical solution evaluation and recommendation, including software tool and technology;
Cooperate with different parties to complete the project





Show More",NA
17,NA,Chain of Demand,Data Engineer,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","The Data Engineer will be responsible for the delivery of data solutions in a timely manner. They will report directly to Head of Data Science and will work closely with other areas of the business such as technology and management teams.
The role will suit individuals that are flexible and creative, enjoy solving complex data problems. The right candidate will be looking to take ownership of the data engineering technology stack and all related processes and procedures.
Role Responsibility
Design, build, and maintain data structures, databases, and data processing pipelines to support data science projects
Build and maintain web scrapers, APIs, and dashboards
Show More",HK$192K - HK$438K (Glassdoor Est.)
18,NA,Mandurah Consultancy,Data Engineer,Hong Kong,NA,"4.1
★★★★★
78 %
Recommend to a friend
82 %
Approve of CEO
260 Ratings","Our client is one leading and very sizable organization in the industry providing IT&T solutions with business in both retail and corporate sectors.
Build enterprise big data analytic and AI blueprint and collaborate with business users across the organization to assess their needs and define analytical strategy
Assist the evaluation, selection and implementation of tools for data integration, analytics, machine learning and visualization
Analyze structured and unstructured data, visualize findings and discover insights via data modelling, machine learning and optimization technique
Build real time integration capabilities from data source and analytic platform to customer touch points
Collaborate with a broad spectrum of stakeholders, including marketers, technical expertise and product teams, etc.
Requirement: :
Show More",NA
19,NA,Top20Talent,Data Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Top20Talent Website",NA,"Our Client:
A cutting edge FinTech company creating Virtual Banking services for the Hong Kong market. Looking to speak to Data Engineers with hands-on Python skills to help build the Data tools (Data Warehouse/Data Lake) and pipeline to be used by the Virtual Bank.

Role Overview:
1. Work closely with the core team in Hong Kong to implement and develop the backend of our services;
2. Integrate new technologies into existing systems;
3. Build Data tools and infrastructure (Data Warehouse/Data Lake) that will help the virtual bank to thrive;
4. Assist, build and maintain the data pipeline.

Ideal Profile:
1. Degree in Computer Science/Engineering or equivalent discipline;
2. Previous professional experience interacting with Data (Analysis/Engineering) is preferable but not crucial;
3. Experience with ELT is useful;
4. At least 2 years of software development experience;
5. Hands-on skills with Python and Java.
Show More",NA
20,NA,E-Buy Global Limited,Data Engineer,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","Started in November 2014, Buyandship has become the leading Cross Border E-Commerce logistics provider with a presence in more than 11 countries of one million users. Buyandship's mission is to create a border-less shopping experience across the world regardless of where you are. At Buyandship, we are redefining the experience of E-Commerce without changing the sites, we are disrupting the underlying infrastructure. We envision our members being able to purchase from any site around the world and have it seamlessly be shipped home. No more geographical restrictions, No more price monopolies, No more ambiguous shipping situations. We are building towards a transparent system, where both buyers and sellers do not have to deal with any of the hassle that is not the product. In the past years, we have been able to curate an active customer based of highly engaged and informed shoppers across our whole network. We are VC-backed company and have staffs in Hong Kong, Taiwan, Japan, Philippines and USA; We also run our own warehouses in Japan, UK and USA.

We are always looking for like minded people that see the world as a giant shopping mall and love to indulge in looking for the best deals always. Quick-minded and sharp, we work together in a tight-knit organization that wants to grow with sustainability and speed.

Meet Our Team and Join Our Excitement!

http://www.buyandship.today


Create the data pipelines that integrate different systems into a unified data warehouse

Build the data dashboards for different functional teams in the company

Perform adhoc data analysis as requested

Play with the data to explore useful information using machine learning & AI


Degree in Computer Science or related disciplines

At least 4 years of software development experience, with minimum 2 years in developing data solutions

Strong problem solving skills and able to work independently

Attention to detail and love learning new technologies

Solid experience in using Ubuntu & AWS

Competent programming skills in Python and/or Java

In depth knowledge in SQL and data modelling

Experience in processing big data, machine learning & AI is a plus

Interested parties please send your application together with your detailed resume and stating expected salary by clicking ""Apply now""

Full-time
Show More",NA
21,NA,Capital Crux Company Limited,Data Engineer,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","Key Responsibilities:
Work with project manager and development leads to implement / enhance data analytical platform.
Design and develop data centric business applications for our clients
Design and Implement data integration architecture with external systems and data sources.
Work with frontend developer to design & implement data integration layer to standardize web GUI data binding and UI behavior.
Implement automation testing for platform.
Documentation on High Level / Low Level Technical Design document.


Show More",NA
22,NA,Classy Wheeler,Data Engineer,Kwun Tong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Classy Wheeler Website",NA,"Client Description
Innovation company offering premium advertising and data-driven mobile marketing solutions

Job Description
Application development and maintenance of Data Warehouse Projects
Build ETL flows for streaming data transformations for data analyses
Maintain high availability of analytics system
Enhance data collection procedures to include information that is relevant for building analytic systems
Productionize data algorithms and build APIs as public services

Show More",HK$216K - HK$420K (Glassdoor Est.)
23,4.0,BFAM Partners,Junior Data Engineer,Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
2012
Type
Company - Private
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
Unknown / Non-Applicable
Visit BFAM Partners Website","4.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","The Junior Data Engineer will engage in Data Curation, Extraction, and Maintenance for use in AI/ML/Quant workflows using AWS and Azure cloud technologies. This is an exciting role for those looking to extend their knowledge into the AI/ML field using AWS cloud computing and lots of freedom to deliver solutions. The incumbent will work closely with the trading desk and understanding how a desk works in a hedge fund. They will work with large datasets, distributed computing, and software development
Duties and responsibilities
Write, maintain and debug ETL jobs as well as adjusting data for scientists to use
Assist in various logistical tasks such as data acquisition/warehousing/cleaning and configuring High-Performance Computer clusters
Work with Technology function in implementing integrated AI-based solutions
Requirements:
Education & Experience
Competencies
Working conditions
This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.
The incumbent is not expected to undertake business travel, other than an occasional conference.
Physical requirements
No specific physical requirements related to hard labour or unsocial hours
Direct reports/ Supervisory responsibility
None
Other duties
Please note this job description is indicative in nature. Duties, responsibilities and activities may change at any time with or without notice.


Why work with us
Competitive Rewards & Benefits
Show More",HK$254K - HK$735K (Glassdoor Est.)
24,4.0,China Unicom (HK) Operations Limited,Data Analyst Engineer,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
2000
Type
Company - Public
Industry
Telecommunications Services
Sector
Telecommunications
Revenue
$10+ billion (USD)
Visit China Unicom (HK) Operations Limited Website","4.0
★★★★★
64 %
Recommend to a friend
96 %
Approve of CEO
8 Ratings","China Unicom (Hong Kong) Operations Ltd is a member of China Unicom that provides telecommunication services in Hong Kong. To cope with our development, we would like to invite high caliber candidates to apply for the following position:

Job Responsibilities:
Responsible for the requirement analysis of daily big data projects, evaluate the feasibility of the data requirement scheme, confirm the data caliber and relevant details with the big data development team, ensure the requirement implementation progress and continuously track

Responsible for the project operation, maintenance and project planning of IT Surveillance system, promote the project construction and guarantee the project quality

Responsible for operation and maintenance of business analysis platform, big data platform, daily data extraction requirements, etc

Responsible for participating in the system function acceptance and organization of users before the line of functional acceptance


Minimum Bachelor degree in Statistics, Computer Science, Management or related subject

At least 1 years of Big data project management experience

Good communication and cooperation ability and project management ability

Familiar with data platform, data label, data warehouse theory is preferred

Experience using SQL, hive and other database tools is preferred

Excellent Chinese and English expression skills and data analysis skills, proficient in EXCEL, PPT, Word

Full-time,Permanent
Show More",NA
25,4.4,Morgan McKinley,Senior Data Engineer,Hong Kong,"Company Overview
Size
501 to 1000 Employees
Founded
1988
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Morgan McKinley Website","4.4
★★★★★
86 %
Recommend to a friend
91 %
Approve of CEO
55 Ratings","Ranked as one of Deloitte's Top 'Best Managed Companies' and headquartered in Ireland, Morgan McKinley established in Hong Kong in 2003. Our company culture, built on trust, reward, and commitment to success is based in the financial centre in Admiralty, with 30+ recruiters speaking Cantonese, Mandarin and English.

We specialise in permanent, contract and staffing solutions for the Financial Services, Human Resources, Commerce & Industry, Technology, Digital and I.T. markets and have a consistent track record working with leading financial services front office & operations, accounting & finance, risk, compliance, legal, audit, HR, Sales & Marketing businesses.

Responsibilities
Leading activities of data team, ensuring proper execution of duties and alignment with business vision and objectives
Construct efficiency data pipelines to transform data from multiple data sources
Build metadata system where all available data is maintained and cataloged
Lead partnership with project teams, facilitate cross team collaboration to share and acquire development ideas and knowledge
Requirements
Bachelor's degree in a Computer Science, Data Engineering, or related field
Minimum 2 years of experience in Data Management
Hands on experience in Azure / AWS
Hands on experience in RDBMS, NoSQL and cloud data management technology
Hands on experience in Cloud Data Pipelines/ETL/Streaming/Spark/Python and web-crawling techniques
Experience in Tag Management, CDP, GA or web event/tracking is highly preferred
Keen understanding of Data Lake Architecture concepts and able to pick up latest technical skills
We offer great training, a well-defined career path and a fun and challenging work environment where the right candidate will learn and grow with the company
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",NA
26,NA,Aptitude Asia,Data Analytics Engineer - Hedge Fund (Multi-strategies),Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Aptitude Asia Website",NA,"Responsibilities
Responsible for data governance, inventory, acquisition, analysis and cleaning
Responsible for delivery and the construction of derived sets of data
Develop and implement tools to provide autonomy around the platforms data life-cycle
Maintain an inventory of the data estate
Implement the control workflow for representing data events
Work with the investment team to ensure their data-related requirements are captured and delivered
Maintain the health and efficiency of the firm's reference and market data stores
Show More",NA
27,NA,Pacific Cloud Computing Ltd,Big Data Engineer,Causeway Bay,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pacific Cloud Computing Ltd Website",NA,"Responsibilities:
– Maintaining and developing internal platform for blockchain processing
– Responsible for maintaining streaming jobs which we use to process and analyze blockchain data, including fixing bugs, making performance improvements, implementing changes which are requested from other team members.
– Take part in developing new components to our system.

Prior experience with the following technologies ordered by priority:
– Apache Flink
– Apache Kafka
– Clickhouse
– Python
– SQL
– Java or Scala
– Linux or other Unix system
– Docker
– Kubernetes







Show More",NA
28,NA,Jellibeans Hong Kong Limited,Junior Data Engineer,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","Jellibeans was founded in 2020, it is headquartered in Hong Kong, and has a data engineering lab in Los Angeles, California, backed by investments worldwide.

Jellibeans B2C is an online personal styling service. It uses recommendation gathered by global and local data to personalize style according to change. Our algorithms and data science is derived from local insight to personalize clothing items based on size, budget and style. incl. weather, recent purchases, wardrobe, smart intel on what's missing in wardrobe for the season. keeping budget friend/or appropriate to shopper. or recommend based on pantry/different scenarios. Jellibeans B2B is a retail insights platform, powering business decision-making with deep and actionable insights. It makes real-time competitor data accessible, simplifies decision-making and drives higher profit.

Indursty: Fashion Technology, AI

Subsidiary of Aussco Hong Kong Limited.

Job Description

We are looking for a Junior Data Engineer to help us improve the shopping experience in the website across popular products and brands. Your role will be to develop new data feeds, along with maintaining our library of existing data feeds from our partners, you will be responsible for all aspects of the development process, from concept to testing, release, support and maintenance.

Requirements

Bachelor's degree in computer science and information technology or related discipline.

2+ years of Python and Linux experience

2+ years of web scraping with Python/Note, good understanding of scraping pitfalls

Familiar with Pandas, Numpy, BeautifulSoup, XPath Selectors

Familiar with Postgres/ SQLite Databases, Containers and Mircoservices, Messaging and APT design

Experience in multiple SDLC phases, moving from concept to production

Interested in Text Mining, AI/ Machine Learning, Python, Fashion

Strong communication skills with excellent command of spoken/written English and Chinese


Five-day work week

Discretionary year-end bonus

Medical & Dental insurance

Staff purchase discount

Free drinks and snacks

Office with an Ocean View

Excellent career development

Fast & entrepreneurial culture

You will be working closely with the founders and as the key member of the team

Interested parties please click apply and attach your full resume with current and expected salary.

Information provided will be treated in strict confidence and only be used for recruitment purpose. The Company may refer suitable applicants to other vacancies within the associated Group of companies. Applicants who are not invited for interview within 1 month may consider their applications unsuccessful.

Full-time,Permanent
Show More",NA
